Certificate Authority,Total #,Total %
R3,512,37.31778425655977
Cloudflare Inc RSA CA-2,149,10.860058309037901
Go Daddy Secure Certificate Authority - G2,117,8.527696793002915
DigiCert TLS RSA SHA256 2020 CA1,117,8.527696793002915
InCommon RSA Server CA,102,7.434402332361516
Others,375,27.332361516034986
