Region,Global #,Without SSL (Public) #,Without SSL (Public) %,Without SSL (Private) #,Without SSL (Private) %,256 (ECC) (Public) #,256 (ECC) (Public) %,256 (ECC) (Private) #,256 (ECC) (Private) %,384 (ECC) (Public) #,384 (ECC) (Public) %,384 (ECC) (Private) #,384 (ECC) (Private) %,1024 (RSA) (Public) #,1024 (RSA) (Public) %,1024 (RSA) (Private) #,1024 (RSA) (Private) %,2048 (RSA) (Public) #,2048 (RSA) (Public) %,2048 (RSA) (Private) #,2048 (RSA) (Private) %,3072 (RSA) (Public) #,3072 (RSA) (Public) %,3072 (RSA) (Private) #,3072 (RSA) (Private) %,4096 (RSA) (Public) #,4096 (RSA) (Public) %,4096 (RSA) (Private) #,4096 (RSA) (Private) %
West Virginia,21,0,0.0,0,0.0,0,0.0,1,4.761904761904762,0,0.0,0,0.0,0,0.0,0,0.0,9,42.857142857142854,10,47.61904761904761,0,0.0,0,0.0,1,4.761904761904762,0,0.0
Nevada,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,30.0,7,70.0,0,0.0,0,0.0,0,0.0,0,0.0
Missouri,54,0,0.0,0,0.0,1,1.8518518518518516,2,3.7037037037037033,0,0.0,1,1.8518518518518516,0,0.0,0,0.0,11,20.37037037037037,34,62.96296296296296,0,0.0,0,0.0,1,1.8518518518518516,4,7.4074074074074066
Montana,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,30.0,4,40.0,0,0.0,0,0.0,3,30.0,0,0.0
Indiana,52,0,0.0,0,0.0,0,0.0,1,1.9230769230769231,1,1.9230769230769231,0,0.0,0,0.0,0,0.0,13,25.0,34,65.38461538461539,0,0.0,0,0.0,0,0.0,3,5.769230769230769
Arizona,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,20.0,13,65.0,0,0.0,2,10.0,0,0.0,1,5.0
Arkansas,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,40.0,11,55.00000000000001,0,0.0,0,0.0,1,5.0,0,0.0
Connecticut,26,0,0.0,0,0.0,0,0.0,2,7.6923076923076925,0,0.0,0,0.0,0,0.0,0,0.0,11,42.30769230769231,11,42.30769230769231,0,0.0,1,3.8461538461538463,0,0.0,1,3.8461538461538463
Delaware,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
District of Columbia,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.333333333333332,11,91.66666666666666,0,0.0,0,0.0,0,0.0,0,0.0
Georgia,54,0,0.0,0,0.0,0,0.0,1,1.8518518518518516,0,0.0,0,0.0,0,0.0,0,0.0,16,29.629629629629626,33,61.111111111111114,0,0.0,0,0.0,3,5.555555555555555,1,1.8518518518518516
Hawaii,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,37.5,5,62.5,0,0.0,0,0.0,0,0.0,0,0.0
Idaho,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,37.5,4,50.0,0,0.0,0,0.0,1,12.5,0,0.0
Illinois,74,0,0.0,1,1.3513513513513513,0,0.0,2,2.7027027027027026,0,0.0,0,0.0,0,0.0,0,0.0,10,13.513513513513514,57,77.02702702702703,0,0.0,0,0.0,2,2.7027027027027026,2,2.7027027027027026
Iowa,34,0,0.0,0,0.0,0,0.0,1,2.941176470588235,0,0.0,0,0.0,0,0.0,0,0.0,2,5.88235294117647,24,70.58823529411765,0,0.0,2,5.88235294117647,1,2.941176470588235,4,11.76470588235294
Alaska,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Kansas,28,0,0.0,0,0.0,0,0.0,1,3.571428571428571,1,3.571428571428571,0,0.0,0,0.0,0,0.0,5,17.857142857142858,15,53.57142857142857,0,0.0,3,10.714285714285714,2,7.142857142857142,1,3.571428571428571
Kentucky,29,0,0.0,0,0.0,0,0.0,3,10.344827586206897,0,0.0,0,0.0,0,0.0,0,0.0,7,24.137931034482758,17,58.620689655172406,0,0.0,0,0.0,1,3.4482758620689653,1,3.4482758620689653
Louisiana,26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,57.692307692307686,10,38.46153846153847,0,0.0,0,0.0,1,3.8461538461538463,0,0.0
Maine,16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,37.5,10,62.5,0,0.0,0,0.0,0,0.0,0,0.0
Maryland,32,0,0.0,0,0.0,0,0.0,1,3.125,0,0.0,0,0.0,0,0.0,0,0.0,11,34.375,17,53.125,0,0.0,0,0.0,3,9.375,0,0.0
Massachusetts,74,0,0.0,0,0.0,1,1.3513513513513513,1,1.3513513513513513,0,0.0,0,0.0,0,0.0,0,0.0,10,13.513513513513514,59,79.72972972972973,0,0.0,0,0.0,2,2.7027027027027026,1,1.3513513513513513
Michigan,48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,29.166666666666668,31,64.58333333333334,0,0.0,0,0.0,1,2.083333333333333,2,4.166666666666666
Minnesota,41,0,0.0,0,0.0,0,0.0,1,2.4390243902439024,0,0.0,0,0.0,0,0.0,0,0.0,12,29.268292682926827,26,63.41463414634146,0,0.0,1,2.4390243902439024,0,0.0,1,2.4390243902439024
Mississippi,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.88235294117647,7,41.17647058823529,8,47.05882352941176,0,0.0,0,0.0,1,5.88235294117647,0,0.0
Wyoming,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Total,1943,8,0.4117344312918168,12,0.6176016469377252,4,0.2058672156459084,44,2.2645393721049922,5,0.2573340195573855,3,0.1544004117344313,0,0.0,1,0.0514668039114771,487,25.064333504889348,1239,63.767370046320124,1,0.0514668039114771,14,0.7205352547606794,54,2.779207411219763,71,3.654143077714874
